parameter,value,lsm_price,benchmark,error,error_pct
Moneyness,S/K = 0.80,19.949087841518118,20.0,0.05091215848188213,0.25456079240941065
Moneyness,S/K = 0.90,11.416546669008476,11.493351020842256,0.07680435183378087,0.6682502926648846
Moneyness,S/K = 1.00,6.033211268909063,6.089595282977953,0.05638401406889049,0.9259074117207572
Moneyness,S/K = 1.10,2.9522988646469845,2.9878621090672057,0.035563244420221185,1.1902572181058193
Moneyness,S/K = 1.20,1.36303706471878,1.36784113404304,0.004804069324260141,0.3512154448857931
Volatility,σ = 10%,2.4063290642299595,2.436389163688482,0.030060099458522505,1.2337971251281596
Volatility,σ = 15%,4.1845696917688775,4.232072291850511,0.04750260008163387,1.1224430209547043
Volatility,σ = 20%,6.033211268909063,6.089595282977953,0.05638401406889049,0.9259074117207572
Volatility,σ = 30%,9.792266651476444,9.86871638987585,0.07644973839940583,0.7746674985800011
Volatility,σ = 40%,13.556783075319407,13.665583597380964,0.1088005220615571,0.7961644761546001
Time to Maturity,T = 0.25y,3.4706049859186483,3.4793417434291567,0.008736757510508397,0.25110374762720655
Time to Maturity,T = 0.50y,4.631893758447776,4.655062754262822,0.023168995815045612,0.497716078990103
Time to Maturity,T = 1.00y,6.033211268909063,6.089595282977953,0.05638401406889049,0.9259074117207572
Time to Maturity,T = 2.00y,7.6373330535005355,7.722157719714592,0.0848246662140566,1.0984580902498284
